"TAG","TIME","X","Y","n_X","n_Y","geometry","surface_type_combined"
161,"2021-04-28 02:00:09.108",240432.33935129,718155.7766615079,35.42778450922372,32.55743220467293,"POINT (35.42778450922372 32.55743220467293)","unknown"
163,"2021-04-28 02:00:09.707",240698.88130933,713846.5053654762,35.4305251167338,32.51856932531454,"POINT (35.4305251167338 32.51856932531454)","urban"
163,"2021-04-28 02:00:01.707",240734.7255491201,713913.9890280181,35.43090812989361,32.519177158342906,"POINT (35.43090812989361 32.519177158342906)","urban"
430,"2021-04-28 02:00:09.496",243023.88954034811,714428.8316572098,35.455284518264705,32.5237734026333,"POINT (35.455284518264705 32.5237734026333)","unknown"
238,"2021-04-28 02:00:10.750",240655.7535294353,713762.3885718213,35.43006421645188,32.51781164442054,"POINT (35.43006421645188 32.51781164442054)","urban"
376,"2021-04-28 02:00:11.577",237467.2071070679,719976.8488924252,35.39624819426391,32.57390537622984,"POINT (35.39624819426391 32.57390537622984)","unknown"
229,"2021-04-28 02:00:11.105",236359.6768728473,716161.7661349557,35.38438491297816,32.539521250327844,"POINT (35.38438491297816 32.539521250327844)","rural"
220,"2021-04-28 02:00:11.757",242468.0150498623,718673.8437611631,35.44947202443607,32.56206334507963,"POINT (35.44947202443607 32.56206334507963)","rural"
167,"2021-04-28 02:00:11.072",243340.36058048476,713307.1945085608,35.458624401695644,32.5136525391676,"POINT (35.458624401695644 32.5136525391676)","rural"
167,"2021-04-28 02:00:11.072",243340.36058048476,713307.1945085608,35.458624401695644,32.5136525391676,"POINT (35.458624401695644 32.5136525391676)","rural"
425,"2021-04-28 02:00:11.713",238281.4699614577,715309.6134533563,35.40482609776813,32.53180621117682,"POINT (35.40482609776813 32.53180621117682)","rural"
201,"2021-04-28 02:00:12.666",246038.17954757684,711845.936615229,35.48729410318441,32.50041470167393,"POINT (35.48729410318441 32.50041470167393)","rural"
225,"2021-04-28 02:00:13.515",239200.24974236163,717696.8789827592,35.41465619027732,32.5533168388879,"POINT (35.41465619027732 32.5533168388879)","rural"
231,"2021-04-28 02:00:13.831",242319.9235121253,714010.1032107532,35.447781676280016,32.520012336791595,"POINT (35.447781676280016 32.520012336791595)","rural"
430,"2021-04-28 02:00:13.496",243025.6275860321,714434.136243167,35.45530315007858,32.52382119857024,"POINT (35.45530315007858 32.52382119857024)","unknown"
232,"2021-04-28 02:00:14.340",244261.41599918244,718009.5837222079,35.46855062956324,32.55603490078398,"POINT (35.46855062956324 32.55603490078398)","rural"
323,"2021-04-28 02:00:14.136",238674.84781554743,714879.106266806,35.409004601302186,32.527917464494614,"POINT (35.409004601302186 32.527917464494614)","rural"
325,"2021-04-28 02:00:14.415",238185.2209753341,715237.2613017426,35.4038001357348,32.531155419917944,"POINT (35.4038001357348 32.531155419917944)","rural"
423,"2021-04-28 02:00:14.745",240314.11462806127,717352.7506991426,35.426507877766795,32.55019336018303,"POINT (35.426507877766795 32.55019336018303)","rural"
19,"2021-04-28 02:00:14.260",243358.3808656826,717649.8987468168,35.45892659001711,32.552811378095114,"POINT (35.45892659001711 32.552811378095114)","rural"
13,"2021-04-28 02:00:14.241",240750.48711143763,713748.7802768642,35.43107214042902,32.51768712190717,"POINT (35.43107214042902 32.51768712190717)","urban"
378,"2021-04-28 02:00:15.942",240827.03017162348,713451.334367933,35.43188001689357,32.51500349637002,"POINT (35.43188001689357 32.51500349637002)","urban"
228,"2021-04-28 02:00:15.337",242539.32760315543,716727.1103017379,35.45018351571631,32.54450773502987,"POINT (35.45018351571631 32.54450773502987)","rural"
425,"2021-04-28 02:00:15.712",238282.91030032333,715306.1093930386,35.40484135926115,32.531774589649146,"POINT (35.40484135926115 32.531774589649146)","rural"
406,"2021-04-28 02:00:15.097",242064.57105847445,720967.8098425376,35.4452314165407,32.582756792107375,"POINT (35.4452314165407 32.582756792107375)","rural"
407,"2021-04-28 02:00:15.347",241199.2824012517,715037.9726014887,35.435878380257286,32.5293034253175,"POINT (35.435878380257286 32.5293034253175)","water"
226,"2021-04-28 02:00:16.509",243115.03227954532,716053.7512233694,35.45629548370551,32.53842376926781,"POINT (35.45629548370551 32.53842376926781)","rural"
310,"2021-04-28 02:00:16.777",237724.0991224977,714779.6263116546,35.39888287523644,32.52703647947013,"POINT (35.39888287523644 32.52703647947013)","rural"
144,"2021-04-28 02:00:16.212",238188.6448446645,715249.2265695302,35.40383681919158,32.53126325632591,"POINT (35.40383681919158 32.53126325632591)","rural"
25,"2021-04-28 02:00:16.114",239676.27404100023,713893.6088587388,35.41964261259148,32.51901316367514,"POINT (35.41964261259148 32.51901316367514)","rural"
363,"2021-04-28 02:00:17.090",240928.6950849812,714077.4807462351,35.43297627452678,32.520647675031825,"POINT (35.43297627452678 32.520647675031825)","urban"
161,"2021-04-28 02:00:17.107",240431.13527015172,718154.489888444,35.427771660036655,32.55742062432293,"POINT (35.427771660036655 32.55742062432293)","unknown"
163,"2021-04-28 02:00:17.706",240735.3964502736,713917.9092865863,35.43091535895118,32.519212495568006,"POINT (35.43091535895118 32.519212495568006)","urban"
430,"2021-04-28 02:00:17.496",243022.67171891092,714430.50895082,35.4552715984097,32.52378855307896,"POINT (35.4552715984097 32.52378855307896)","unknown"
238,"2021-04-28 02:00:18.750",240666.9884102959,713752.5162010943,35.43018356464335,32.51772240788588,"POINT (35.43018356464335 32.51772240788588)","urban"
423,"2021-04-28 02:00:18.745",240313.57203068235,717355.4110007,35.42650216000081,32.550217358969114,"POINT (35.42650216000081 32.550217358969114)","rural"
241,"2021-04-28 02:00:19.510",242613.93838575864,713092.5248560702,35.4508883110604,32.51173218721923,"POINT (35.4508883110604 32.51173218721923)","rural"
376,"2021-04-28 02:00:19.576",237363.78307513945,720013.390146049,35.395147481773094,32.5742365532816,"POINT (35.395147481773094 32.5742365532816)","unknown"
229,"2021-04-28 02:00:19.104",236396.82652728824,716245.4073176554,35.384781893865586,32.54027489961393,"POINT (35.384781893865586 32.54027489961393)","rural"
220,"2021-04-28 02:00:19.757",242524.7792198244,718716.7349154623,35.45007750449326,32.562448923807715,"POINT (35.45007750449326 32.562448923807715)","rural"
167,"2021-04-28 02:00:19.072",243347.44538732973,713301.2264725046,35.458699648839065,32.51359857137479,"POINT (35.458699648839065 32.51359857137479)","rural"
167,"2021-04-28 02:00:19.072",243347.44538732973,713301.2264725046,35.458699648839065,32.51359857137479,"POINT (35.458699648839065 32.51359857137479)","rural"
425,"2021-04-28 02:00:19.712",238278.6236584207,715316.5875696682,35.40479593997045,32.53186914701676,"POINT (35.40479593997045 32.53186914701676)","unknown"
201,"2021-04-28 02:00:20.665",246002.535416158,711792.949351487,35.4869133302602,32.49993775323783,"POINT (35.4869133302602 32.49993775323783)","rural"
405,"2021-04-28 02:00:20.493",242051.41935952575,720991.9388649663,35.445091926113435,32.582974636266115,"POINT (35.445091926113435 32.582974636266115)","urban"
405,"2021-04-28 02:00:20.493",242051.41935952575,720991.9388649663,35.445091926113435,32.582974636266115,"POINT (35.445091926113435 32.582974636266115)","urban"
225,"2021-04-28 02:00:21.514",239198.281653359,717697.4352694724,35.41463524769896,32.55332189010095,"POINT (35.41463524769896 32.55332189010095)","rural"
231,"2021-04-28 02:00:21.830",242334.5382732956,714021.8371135899,35.44793750744345,32.520117843537214,"POINT (35.44793750744345 32.520117843537214)","rural"
430,"2021-04-28 02:00:21.496",243023.87339060183,714432.9801789821,35.45528445032449,32.5238108112785,"POINT (35.45528445032449 32.5238108112785)","unknown"
232,"2021-04-28 02:00:22.340",244261.42431607936,718010.0428955199,35.46855073024459,32.5560390410578,"POINT (35.46855073024459 32.5560390410578)","rural"
323,"2021-04-28 02:00:22.136",238667.2985147742,714885.3624366601,35.408924374196374,32.52797400883968,"POINT (35.408924374196374 32.52797400883968)","rural"
325,"2021-04-28 02:00:22.414",238179.1023847916,715258.1286814462,35.403735422525315,32.531343690200586,"POINT (35.403735422525315 32.531343690200586)","rural"
423,"2021-04-28 02:00:22.745",240312.35216025045,717351.937386336,35.42648909535273,32.55018605949037,"POINT (35.42648909535273 32.55018605949037)","rural"
19,"2021-04-28 02:00:22.260",243377.8520413405,717658.5571094617,35.45913411861812,32.55288903257819,"POINT (35.45913411861812 32.55288903257819)","rural"
13,"2021-04-28 02:00:22.240",240787.9151209062,713713.311276953,35.43146967504923,32.51736656944159,"POINT (35.43146967504923 32.51736656944159)","urban"
378,"2021-04-28 02:00:23.941",240829.42895049145,713443.0369687557,35.43190535738736,32.51492863016217,"POINT (35.43190535738736 32.51492863016217)","urban"
228,"2021-04-28 02:00:23.337",242541.35750176923,716735.9057894999,35.45020534201087,32.5445870037633,"POINT (35.45020534201087 32.5445870037633)","rural"
425,"2021-04-28 02:00:23.712",238283.36376494844,715309.3929036866,35.40484625191004,32.531804190293094,"POINT (35.40484625191004 32.531804190293094)","rural"
406,"2021-04-28 02:00:23.097",242053.03587161168,721029.3221360447,35.44511004354012,32.583311695061866,"POINT (35.44511004354012 32.583311695061866)","urban"
406,"2021-04-28 02:00:23.097",242053.03587161168,721029.3221360447,35.44511004354012,32.583311695061866,"POINT (35.44511004354012 32.583311695061866)","urban"
407,"2021-04-28 02:00:23.347",241200.5716152561,715038.7333783328,35.435892120457964,32.52931026018876,"POINT (35.435892120457964 32.52931026018876)","water"
226,"2021-04-28 02:00:24.508",243113.8233442232,716037.0729148545,35.4562821945109,32.538273402748764,"POINT (35.4562821945109 32.538273402748764)","rural"
310,"2021-04-28 02:00:24.776",237720.1531343313,714780.3856050639,35.39884088918491,32.52704339117348,"POINT (35.39884088918491 32.52704339117348)","rural"
144,"2021-04-28 02:00:24.211",238185.9809582715,715246.5579098861,35.40380841050402,32.53123923722929,"POINT (35.40380841050402 32.53123923722929)","rural"
145,"2021-04-28 02:00:24.105",244285.1774500984,712967.0289008078,35.4686704495952,32.510564454415025,"POINT (35.4686704495952 32.510564454415025)","unknown"
25,"2021-04-28 02:00:24.114",239727.44455727344,713933.0094600843,35.42018806756527,32.51936751730822,"POINT (35.42018806756527 32.51936751730822)","urban"
363,"2021-04-28 02:00:25.089",240934.6673860012,714073.5293416724,35.433039748386804,32.52061192859503,"POINT (35.433039748386804 32.52061192859503)","urban"
161,"2021-04-28 02:00:25.107",240430.661126096,718160.2964766626,35.427766741297084,32.557472992635894,"POINT (35.427766741297084 32.557472992635894)","unknown"
