TAG,TX,TIME,X,Y,Z,FREQ,DIM,NBS,NCONSTRAINTS,PENALTY,GRADNRM,VARX,VARY,VARZ,COVXY,COVXZ,COVYZ
972006000232,972006000232,1619577886165,243290.04292089885,717550.3125999338,77,432403931,2,6,6,2.885902166366577,6.932606932963381e-09,7.3481855392456055,7.615325450897217,,0.6424176096916199,,
972006000495,972006000495,1619577886629,239538.74628348355,719539.2005026417,4,432403931,2,4,4,6.560798168182373,3.7624968740601616e-07,24.894487380981445,22.87186050415039,,-22.08327293395996,,
972006000164,972006000164,1619577886539,241603.567408301,716952.5257654623,-61,432403931,2,6,6,7.687314510345459,4.697011224408243e-09,3.424058675765991,11.871325492858887,,2.764019250869751,,
972006000423,972006000423,1619577886624,240309.52165939007,717352.9596856118,-75,432403931,2,7,7,3.827132225036621,3.972405515639821e-09,5.144029140472412,1.6374473571777344,,-0.47664836049079895,,
972006000428,972006000428,1619577886409,241264.97598090145,717465.9095402339,-50,432403931,2,5,5,1.9896459579467773,3.899640788063152e-08,9.572077751159668,1.3983135223388672,,-0.35530319809913635,,
972006000019,972006000019,1619577886144,243292.2115265564,717585.6740105953,74,432403931,2,4,4,2.534604549407959,3.333543885375434e-09,171.3551025390625,49.28506851196289,,70.57872009277344,,
972006000378,972006000378,1619577887749,240861.6261581923,713429.6906669433,-81,432403931,2,3,3,0.2836359143257141,1.1058873816693904e-09,1030.6385498046875,3197.58740234375,,-1772.5650634765625,,
972006000228,972006000228,1619577887186,242514.0876505382,716699.5213125894,-63,432403931,2,4,4,0.18807853758335114,3.4646365637547305e-11,78.140869140625,69.31669616699219,,58.81305694580078,,
972006000425,972006000425,1619577887540,236103.13351792292,716703.5526139127,-51,432403931,2,3,3,0.13102076947689056,1.992550568985507e-09,57287.109375,14436.263671875,,28237.1640625,,
972006000145,972006000145,1619577887973,244301.07710092212,712993.2405074346,-114,432403931,2,3,3,0.10606557875871658,6.154312615080926e-09,10.512369155883789,249.23512268066406,,27.940393447875977,,
972006000407,972006000407,1619577887199,241206.41676629207,715086.795936205,-98,432403931,2,4,4,0.04176800698041916,2.206160393258827e-10,19.104970932006836,13.778852462768555,,-12.044432640075684,,
972006000226,972006000226,1619577888343,242850.32770621666,713278.6504308807,-104,432403931,2,4,4,3.493088960647583,4.302842804282392e-10,325.6446228027344,1164.2279052734375,,495.0716552734375,,
972006000363,972006000363,1619577888893,240931.90076816434,714081.2796719172,-91,432403931,2,6,6,6.071887016296387,2.458734327248635e-10,3.594597816467285,3.707991123199463,,-2.864990711212158,,
972006000492,972006000492,1619577888189,239419.12898105595,719642.7843380057,7,432403931,2,4,4,7.1644158363342285,6.418486719894645e-08,47.9661979675293,76.29044342041016,,-57.90723419189453,,
972006000310,972006000310,1619577888592,237726.2015666106,714783.5576958405,-51,432403931,2,5,5,1.661804437637329,2.6242898343298293e-07,14.429140090942383,91.82450866699219,,-23.418603897094727,,
972006000161,972006000161,1619577888918,240419.40539088738,718176.9140187275,-67,432403931,2,6,6,3.3282785415649414,4.350154902965642e-09,4.294867515563965,1.3281069993972778,,-0.5680939555168152,,
972006000021,972006000021,1619577888560,246155.59187748667,713419.026333119,-118,432403931,2,3,3,0.04626169055700302,1.3518788311017715e-09,304.1339416503906,173.97402954101562,,205.77627563476562,,
972006000025,972006000025,1619577888000,239635.85431888475,713894.7336847926,-40,432403931,2,4,4,3.4043779373168945,7.885742725477485e-09,225.3971710205078,171.53125,,146.52981567382812,,
972006000493,972006000493,1619577889468,239481.69343680848,719667.9389419188,11,432403931,2,5,5,8.254316329956055,1.7099951321597473e-07,6.232332706451416,7.102376937866211,,-5.471420764923096,,
972006000424,972006000424,1619577889479,243488.79416333925,713284.8819503208,-108,432403931,2,6,6,2.7176778316497803,3.759536293390653e-10,31.108858108520508,57.9232292175293,,27.094709396362305,,
972006000429,972006000429,1619577889559,241763.6944648579,714594.7003263425,-97,432403931,2,7,7,4.962461948394775,2.198880633130784e-09,1.7700790166854858,2.0993101596832275,,-0.7761573195457458,,
972006000430,972006000430,1619577889336,243013.39138553824,714431.3705720513,-99,432403931,2,8,8,4.779910564422607,3.2423488893762453e-10,2.530520439147949,10.08171272277832,,0.4849967658519745,,
972006000411,972006000411,1619577889698,239292.4685917512,716169.8759644519,-76,432403931,2,3,3,0.07801233232021332,2.3029349260905718e-10,263.3633117675781,60.390647888183594,,46.5546875,,
972006000238,972006000238,1619577890603,240663.27649944014,713760.4596096078,-80,432403931,2,4,4,2.62567138671875,3.3172231184153134e-08,95.56008911132812,16.286113739013672,,-30.348247528076172,,
972006000239,972006000239,1619577890115,242369.38534581737,714764.1594788273,-99,432403931,2,3,3,0.04072314873337746,3.574665841110658e-10,8.334019660949707,76.53978729248047,,18.63814926147461,,
972006000423,972006000423,1619577890624,240311.91206484608,717354.6063357239,-75,432403931,2,7,7,4.997777462005615,8.941245965843336e-09,3.831636905670166,0.9007822871208191,,-0.30501455068588257,,
972006000167,972006000167,1619577890897,243326.46539973345,713312.4629713033,-106,432403931,2,5,5,2.4131453037261963,1.2072411126329285e-10,51.06135559082031,63.633094787597656,,-3.589184045791626,,
972006000428,972006000428,1619577890409,241265.83198693345,717465.080553554,-50,432403931,2,5,5,2.2104642391204834,4.074581738677807e-08,8.63095474243164,1.225517749786377,,0.007436441723257303,,
972006000409,972006000409,1619577890700,237762.39159901565,716543.6189828697,-67,432403931,2,4,4,4.647605895996094,5.905582689536004e-09,771.6691284179688,983.6004638671875,,-858.5761108398438,,
972006000241,972006000241,1619577891338,242574.56814455346,713158.0690818225,-100,432403931,2,5,5,2.2950944900512695,7.445170702169435e-09,57.225341796875,63.045997619628906,,-28.32197380065918,,
972006000376,972006000376,1619577891402,237314.45395583368,719997.9499770061,27,432403931,2,5,5,3.1373775005340576,2.7764993082435296e-10,1389.4886474609375,30.96634864807129,,11.331989288330078,,
972006000220,972006000220,1619577891624,242592.11106962303,718305.7100060963,54,432403931,2,6,6,3.5600569248199463,4.4146791111643324e-08,1.5153355598449707,5.033841609954834,,1.565103530883789,,
972006000425,972006000425,1619577891540,235939.41866893426,716591.2223790159,-49,432403931,2,4,4,18.547576904296875,1.1836673863285796e-09,75387.6796875,19421.79296875,,37541.3046875,,
972006000195,972006000195,1619577892143,243468.69733813358,713586.5590678042,-103,432403931,2,5,5,1.8263577222824097,1.158834139758369e-10,3.7792675495147705,16.56939125061035,,-0.7177082896232605,,
972006000405,972006000405,1619577892323,242068.98140701553,720976.2746014027,63,432403931,2,3,3,0.2761434316635132,6.579853106813971e-09,18.616500854492188,57.032413482666016,,-30.587657928466797,,
972006000225,972006000225,1619577893364,239176.06253308052,717699.989499186,-68,432403931,2,5,5,1.583403468132019,1.0105889458600359e-07,3.224390745162964,1.5854923725128174,,-1.3739289045333862,,
972006000231,972006000231,1619577893642,242794.0574127125,712224.919060713,-110,432403931,2,5,5,3.001819133758545,2.520796904548206e-08,191.5028533935547,55.187110900878906,,-95.71430206298828,,
972006000424,972006000424,1619577893479,243485.10635025098,713285.5988511131,-108,432403931,2,6,6,3.1344516277313232,3.0996261113358514e-10,17.844501495361328,45.02418518066406,,8.827537536621094,,
972006000429,972006000429,1619577893559,241764.6508018866,714595.0713926096,-97,432403931,2,7,7,5.257203102111816,3.802867798441412e-09,1.5168380737304688,1.501430869102478,,-0.8069674968719482,,
972006000430,972006000430,1619577893336,243014.09592791865,714435.605112226,-99,432403931,2,8,8,4.535129547119141,2.372279039875025e-10,2.862057685852051,11.495123863220215,,1.2224937677383423,,
972006000232,972006000232,1619577894164,243286.59124003327,717553.740106821,77,432403931,2,7,7,2.963873863220215,2.955951483585295e-09,4.667457580566406,4.654503345489502,,0.7550914287567139,,
972006000495,972006000495,1619577894629,239536.4820788269,719542.1126025271,4,432403931,2,4,4,6.516424179077148,3.666598900053941e-07,24.239927291870117,21.982101440429688,,-21.275787353515625,,
972006000325,972006000325,1619577894248,238178.2498171886,715275.6186112585,-73,432403931,2,4,4,1.154125690460205,2.395316445191753e-10,123.49246978759766,38.13829040527344,,36.38055419921875,,
972006000164,972006000164,1619577894538,241601.1965089253,716957.3624448512,-61,432403931,2,6,6,10.73593807220459,3.3488347650489914e-09,5.2083330154418945,8.304290771484375,,3.076138973236084,,
972006000423,972006000423,1619577894624,240305.45063415216,717352.9234103005,-75,432403931,2,6,6,5.728112697601318,4.1600740630087785e-09,4.722597599029541,1.580803394317627,,-0.9197408556938171,,
972006000428,972006000428,1619577894409,241268.7932922303,717465.1000596267,-50,432403931,2,5,5,2.8590550422668457,3.732680653456555e-08,9.952098846435547,1.4302141666412354,,-0.4970111846923828,,
972006000019,972006000019,1619577894144,243360.53874797665,717622.4160443518,72,432403931,2,4,4,4.056722164154053,5.2989070908893154e-09,171.70513916015625,83.19617462158203,,107.64950561523438,,
972006000378,972006000378,1619577895749,240812.70363342014,713522.1876044901,-81,432403931,2,3,3,0.34998831152915955,1.8227578335583416e-09,846.324951171875,1655.587646484375,,-1160.5262451171875,,
972006000228,972006000228,1619577895186,242513.86338215042,716699.2161336341,-63,432403931,2,4,4,1.311225414276123,9.5692884172216e-11,55.80399703979492,64.33160400390625,,46.174530029296875,,
972006000425,972006000425,1619577895539,236631.22107797227,716983.0280021039,-55,432403931,2,5,5,22.48695945739746,1.198081411857288e-09,20220.861328125,4734.01513671875,,9445.517578125,,
972006000145,972006000145,1619577895972,244297.34520193955,712985.2554732187,-114,432403931,2,4,4,1.9597715139389038,5.257315027762388e-09,8.888894081115723,280.02935791015625,,26.50750160217285,,
972006000407,972006000407,1619577895198,241206.22702406705,715077.1235037574,-98,432403931,2,4,4,2.845045328140259,2.930845843795993e-10,4.5561323165893555,3.51528000831604,,-1.3535025119781494,,
